tradeTime,alpha_1,alpha_2,alpha_3,alpha_4,alpha_5,alpha_6,alpha_7,alpha_8,alpha_9,alpha_10,alpha_11,alpha_12,alpha_13,alpha_14,alpha_15,alpha_16,alpha_17,alpha_18,alpha_19,alpha_20
135130,190.66666666666666,0.0009323853658732743,426325.0,0.08734198610133863,0.1596803767023943,2530191.62,2828169.3766666665,-297977.75666666665,2.4246893470221043,-0.3350115357515025,425991.5569015057,426666.3950285463,426287.4134783583,674.8381270408473,-59595.551333333344,0.14381080891267975,1.6666666666666667,3.6666666666666665,-0.4765608279712846,0.021891214188064556
135133,213.66666666666666,0.0009416488382652186,426314.5,0.07154701438253408,0.16512577985817356,2532589.263333333,2824700.783333333,-292111.52,2.4737376462710614,-0.3344920116628861,425979.3985181848,426660.0932828667,426276.40594882914,680.6947646815769,-58422.304000000026,0.14390288500892628,1.0,-10.5,0.04904829924895571,0.025618727865252117
135136,211.0,0.0009341353766377359,426317.8333333333,0.05872298642660804,0.16259279326179274,2535979.3433333333,2822798.6266666665,-286819.2833333333,2.6901018548570126,-0.3343472108505984,425985.9979594928,426666.55305231846,426277.4088476081,680.5550928257978,-57363.85666666668,0.14145147021339763,2.0,3.3333333333333335,0.2163642085859526,0.02499892176560672
135139,204.0,0.0009140413016412952,426313.0,0.08216337102527539,0.16739651375551323,2526974.3333333335,2814072.86,-287098.5266666667,2.743360853761398,-0.33459642251107763,425978.9127551879,426667.29117893614,426275.3071887233,688.3784237480133,-57419.70533333335,0.1469794237582724,-8.333333333333334,-4.833333333333333,0.05325899890438388,0.022614432181593404
135142,189.0,0.0009107842254971735,426328.1666666667,0.08056019324376448,0.1589877338870003,2521395.8266666667,2823002.99,-301607.16333333333,2.86092919258031,-0.33427583083162155,425998.1120623576,426671.48136552935,426289.1369204358,673.3693031714777,-60321.43266666668,0.14162866573728095,7.666666666666667,15.166666666666666,0.11756833881891439,0.02123451172219887
135145,184.33333333333334,0.000902680856472431,426341.8333333333,0.04975466270749151,0.14768201888817795,2522975.3,2824147.27,-301171.97,3.161343375524245,-0.33380696725113135,426009.52247481834,426672.9533540178,426302.9690839457,663.4308791992012,-60234.39400000002,0.12199103607568626,11.333333333333334,13.666666666666666,0.3004141829439316,0.02183308945306657
135148,178.66666666666666,0.0009012234378648015,426345.3333333333,0.0566277825445455,0.15346713322901792,2533907.11,2808366.486666667,-274459.37666666665,2.7774919261933526,-0.33366933649251834,426014.3453267293,426672.7772743857,426303.9445500592,658.4319476563627,-54891.875333333344,0.134683386853179,0.6666666666666666,3.5,-0.38385144933089343,0.021232580279374906
135151,174.66666666666666,0.0009037850403080847,426357.3333333333,0.03991832602203378,0.1514408281371869,2532240.2333333334,2818446.743333333,-286206.51,2.449606180892729,-0.3334538453490204,426016.7178976088,426684.40879176423,426311.5164894825,667.6908941554445,-57241.30200000002,0.12907525438467807,10.0,12.0,-0.32788574530062053,0.020416194793046318
135154,180.33333333333334,0.000909294169507192,426352.5,0.05009289608599926,0.15462786857398556,2528172.9566666665,2827202.37,-299029.41333333333,2.495470039597972,-0.33308010872120586,426009.62722504657,426679.7213501174,426307.09316530894,670.0941250709491,-59805.88266666668,0.132143388560868,-2.0,-4.833333333333333,0.04586385870524121,0.021868135033865088
135157,196.66666666666666,0.0009177449086629286,426338.6666666667,0.07136140250943643,0.1557047084280082,2528667.3233333332,2818935.6933333334,-290268.37,2.422601414594145,-0.3331846435852207,426000.54872469895,426677.2933714013,426302.6588399275,676.7446467025217,-58053.67400000002,0.13638746143625727,-5.666666666666667,-13.833333333333334,-0.07286862500382722,0.02649643219748486
135200,196.33333333333334,0.0009177948682338936,426338.8333333333,0.0660021796659482,0.15567337311674553,2535216.5833333335,2823961.97,-288745.38666666666,2.5640245879662733,-0.3329944329655622,425998.87128733285,426690.94407282566,426308.91513526766,692.0727854925572,-57749.07733333333,0.139187868261124,0.0,0.16666666666666666,0.14142317337213023,0.0234992387097142
135203,203.66666666666666,0.0009304168810387592,426337.8333333333,0.05424671514400366,0.1555717936987148,2537455.1166666667,2812479.3866666667,-275024.27,2.383506251979533,-0.3326356574299706,426004.00973162986,426682.2251210768,426306.63577419607,678.215389446708,-55004.85400000002,0.1391091508380217,2.6666666666666665,-1.0,-0.18051833598673808,0.023685593716579977
135206,190.33333333333334,0.0009143613749728232,426336.5,0.05017550214213926,0.16050672696683055,2538391.473333333,2809848.92,-271457.44666666666,2.3512373713388386,-0.33224964351054637,426001.0907597454,426679.4632568419,426300.43126767577,678.3724970962212,-54291.489333333346,0.1377683170712406,-8.0,-1.3333333333333333,-0.03226888064069644,0.019507333097627935
135209,200.0,0.0009270070842892159,426347.0,0.05992196931202467,0.15931835656690121,2538779.13,2809294.683333333,-270515.55333333334,2.40818142128923,-0.3314217966905155,426007.931738166,426691.80334322597,426307.7852666309,683.8716050599313,-54103.110666666675,0.13878273342682707,15.333333333333334,10.5,0.0569440499503925,0.023009877777570152
135212,196.66666666666666,0.0009169287649246619,426354.0,0.0509523833353926,0.17313459512488347,2537348.7333333334,2799312.22,-261963.48666666666,2.4976033805534694,-0.331127982007062,426012.2035437614,426688.79112957383,426301.5815090576,676.5875858125407,-52392.69733333335,0.14628275798648283,5.333333333333333,7.0,0.08942195926423625,0.020249245300339468
135215,190.66666666666666,0.0009123929361678246,426353.0,0.10482631924903511,0.17288870075424442,2538920.61,2798216.533333333,-259295.92333333334,2.5163057561603885,-0.3309222778441,426018.78544636356,426685.89640630165,426302.5648843015,667.1109599383657,-51859.18466666667,0.1555363578467346,-4.0,-1.0,0.01870237560691797,0.020689131334028013
135218,201.0,0.0009269854909696562,426360.8333333333,0.035134722782491926,0.16136916110204402,2537980.5866666664,2809567.533333333,-271586.94666666666,2.347543361480421,-0.3303946959136073,426020.49347101856,426694.5215504411,426310.1085421317,674.0280794220618,-54317.38933333334,0.13565328124711862,13.0,7.833333333333333,-0.1687623946799652,0.02034169817583761
135221,202.33333333333334,0.0009267913820964013,426369.1666666667,0.038771809494221536,0.15803356081593015,2538008.3766666665,2814808.39,-276800.0133333333,2.3929172237609313,-0.3298798426062851,426029.13092389755,426706.6053499307,426318.9841162163,677.4744260328963,-55360.00266666665,0.1312043073099425,9.0,8.333333333333334,0.04537386228050888,0.02129625590381816
135224,214.33333333333334,0.0009412887910278052,426405.1666666667,-0.038620144720397945,0.144755717087933,2530899.81,2819192.95,-288293.14,2.2930439571891323,-0.32869431619587725,426051.8322797222,426757.0265918346,426364.9260506529,705.1943121128428,-57658.62800000003,0.10409606049811419,42.0,36.0,-0.0998732665717969,0.02418434369888395
135227,235.0,0.0009632326246069228,426436.5,0.00029474571662856385,0.15173514618799894,2524410.87,2818078.453333333,-293667.5833333333,2.3794969026542576,-0.32755531702364865,426075.8722537406,426813.06310006755,426398.43278955854,737.1908463272865,-58733.51666666668,0.1221521166877993,41.666666666666664,31.333333333333332,0.086452945465123,0.02991486596068509
135230,230.33333333333334,0.0009602298743791583,426457.8333333333,-0.01538456375838851,0.14526355133548965,2523859.046666667,2813908.0033333334,-290048.95666666667,2.329367396990029,-0.32649202437447017,426099.15580818104,426834.5876115674,426418.59969504806,735.4318033864519,-58009.791333333356,0.11526118628402439,19.0,21.333333333333332,-0.050129505664228906,0.02992945866157255
135233,239.0,0.0009736270016510318,426453.5,-0.0309900849664673,0.14499249588456273,2527039.1133333333,2810335.433333333,-283296.32,2.3194133183735453,-0.32643772786485775,426090.9002712101,426834.31416748755,426413.674757398,743.4138962771029,-56659.26400000001,0.10721337387903697,0.0,-4.333333333333333,-0.009954078616483848,0.03436337430463765
135236,239.33333333333334,0.0009644661397011928,426475.6666666667,-0.018998642791193922,0.13351116830485496,2523966.6933333334,2799678.9033333333,-275712.21,2.210697482637643,-0.325937904329495,426113.71491347783,426854.32892460603,426439.7846811319,740.6140111281538,-55142.442000000025,0.0995104715361306,22.333333333333332,22.166666666666668,-0.1087158357359031,0.03271042351788757
135239,231.33333333333334,0.0009664719496781146,426493.0,-0.03512398525845684,0.12561882107607875,2520980.2333333334,2800937.7133333334,-279957.48,2.227588512457548,-0.3252866093732203,426126.9197766731,426863.14304479887,426456.7137828477,736.2232681257183,-55991.49600000003,0.08989610499516405,13.333333333333334,17.333333333333332,0.016891029819905028,0.03130548916868597
135242,234.33333333333334,0.0009726078144559192,426493.5,-0.045829618001185256,0.12023759389458823,2519168.6433333335,2802330.5566666666,-283161.91333333333,2.219677059683912,-0.32532374045825224,426129.56325649907,426866.20809339423,426463.0886753105,736.6448368953471,-56632.382666666694,0.08600218948165607,2.0,0.5,-0.007911452773635311,0.030278819995706467
135245,225.33333333333334,0.0009631541266151216,426500.0,-0.042850915430252885,0.1206477981470216,2511914.8266666667,2806153.1233333335,-294238.2966666667,2.0576114302323734,-0.3256073492749154,426140.17769875814,426864.90220475517,426464.87241321814,724.7245059971323,-58847.65933333336,0.08224923433184377,2.0,6.5,-0.16206562945153544,0.029067626488929518
135248,233.66666666666666,0.0009621888049849769,426498.8333333333,-0.004636588437296702,0.12584178988578512,2510637.21,2807991.6333333333,-297354.42333333334,2.152430290606126,-0.32500987280054794,426131.03889776237,426869.83964434697,426464.68578989967,738.8007465848461,-59470.8846666667,0.0942409369757076,3.0,-1.1666666666666667,0.09481886037375066,0.03367612398123402
135251,227.66666666666666,0.0009559780545305924,426499.5,-0.0011535028559005824,0.12298824318796811,2515509.18,2800683.08,-285173.9,2.2849002914060814,-0.32446100269753825,426132.56165797124,426858.3503937933,426464.44326765835,725.7887358222418,-57034.78000000003,0.09487262105897398,-2.3333333333333335,0.6666666666666666,0.13247000079995763,0.028629731572687257
135254,227.0,0.0009539855509999688,426502.5,-0.004270285587239132,0.12125307927578291,2510172.3,2795684.77,-285512.47,2.24558311804723,-0.3240869919154638,426137.3825897482,426856.7560899293,426465.0360206349,719.373500180909,-57102.494000000035,0.09636355894710254,2.6666666666666665,3.0,-0.03931717335885358,0.028308940555072392
135257,221.33333333333334,0.0009506866191480034,426510.3333333333,-0.08570952204716649,0.10750145614701287,2505324.3833333333,2799191.6466666665,-293867.2633333333,2.2256146356085886,-0.3240243603081335,426137.5280894306,426858.1947446126,426471.0127064259,720.6666551822368,-58773.45266666668,0.06875003205183121,5.0,7.833333333333333,-0.019968482438641383,0.026761772921244376
135300,216.66666666666666,0.0009529168577425358,426484.3333333333,-0.044155519351093034,0.10515323306005839,2512048.8266666667,2802925.2333333334,-290876.4066666667,2.269283503892176,-0.32422946939013464,426127.9323645207,426835.7589924391,426458.83507307654,707.8266279183334,-58175.28133333334,0.07324401739354025,-28.333333333333332,-26.0,0.04366886828358859,0.02490002344373849
135303,212.33333333333334,0.0009315376064677961,426482.8333333333,0.0047569493533716626,0.10874671886910853,2511898.4566666665,2805969.4166666665,-294070.96,2.246477727376436,-0.32432249903006366,426129.723487024,426826.4745793946,426454.28025894694,696.7510923704235,-58814.19200000003,0.08223186206095158,-3.6666666666666665,-1.5,-0.022805776515738972,0.0282344157469546
135306,204.33333333333334,0.0009241904679833591,426480.1666666667,0.009985407968811451,0.11148783036248493,2514855.8733333335,2804952.1166666667,-290096.24333333335,2.2406142897179095,-0.32443812335252625,426136.3657741809,426820.7934936368,426453.24383245764,684.4277194557379,-58019.248666666695,0.0879426138706965,-6.666666666666667,-2.6666666666666665,-0.00586343765852679,0.0281891575102657
135309,204.33333333333334,0.0009301476586884328,426478.8333333333,0.024315092554524048,0.11798777621812824,2515290.8233333332,2804681.95,-289391.12666666665,2.186039061151772,-0.3242287012245907,426133.7942054724,426823.91588077304,426450.9055415425,690.1216753006186,-57878.225333333365,0.1005517825659054,-1.3333333333333333,-1.3333333333333333,-0.05457522856613836,0.025792738411338556
135312,204.33333333333334,0.0009277251933018819,426478.5,0.03146516907813797,0.11765800323094003,2515579.84,2797569.993333333,-281990.1533333333,2.148877620284887,-0.3242502067277776,426132.2079388628,426820.39019065036,426447.7347489332,688.1822517880413,-56398.03066666672,0.10018020220754265,-0.3333333333333333,-0.3333333333333333,-0.037161440866887156,0.026628865518417595
135315,206.0,0.0009315179153905826,426467.6666666667,0.04812234407655274,0.11954334633830951,2518081.91,2798024.9366666665,-279943.0266666667,2.192117801825733,-0.32424295692393007,426111.8453243326,426810.9302187549,426432.78314569703,699.0848944225145,-55988.60533333336,0.09824220340500585,-10.0,-10.833333333333334,0.043240181540851776,0.02519074368738091
135318,214.66666666666666,0.0009353194017787675,426482.6666666667,0.07298280437241678,0.12309470612742733,2522986.7533333334,2789710.45,-266723.69666666666,2.112029869957443,-0.3240402345062829,426118.8441087696,426818.5345595264,426434.6764095801,699.6904507571035,-53344.73933333334,0.10461230485677556,19.333333333333332,15.0,-0.08008793186829397,0.028276285804173393
135321,209.33333333333334,0.0009224563806373596,426475.0,0.020466476584873265,0.1301444761063152,2522906.91,2796061.41,-273154.5,2.09557002360671,-0.3235802189643142,426124.28498170705,426814.2593330777,426427.46267527074,689.9743513702591,-54630.89999999999,0.10599998900502161,-10.333333333333334,-7.666666666666667,-0.016459846350734962,0.029857040934643943
135324,207.0,0.0009206797068107381,426477.1666666667,0.01603775470881965,0.12227894910421488,2518326.066666667,2805574.34,-287248.2733333333,2.029388153452477,-0.3234288983476955,426130.8474741807,426818.8214442402,426435.8370557009,687.9739700595276,-57449.65466666666,0.0973751342979445,1.0,2.1666666666666665,-0.06618187015423035,0.031037015578525527
135327,205.0,0.000915445824161734,426481.5,0.02654783323952364,0.1188350018747547,2520018.5433333335,2808755.6033333335,-288737.06,2.021745612985482,-0.323383986436671,426132.8745921389,426818.56680396554,426442.0145508466,685.6922118263627,-57747.412000000004,0.09495926993670847,3.3333333333333335,4.333333333333333,-0.00764254046699586,0.03147909956538217
135330,185.66666666666666,0.0009136421357880207,426470.8333333333,0.04305179085969117,0.11817733751807746,2524735.6733333333,2809268.0766666667,-284532.4033333333,2.044893904424789,-0.3229026583896197,426131.3645506736,426821.3201899775,426445.1167624172,689.9556393038707,-56906.48066666669,0.10218717660246476,-20.333333333333332,-10.666666666666666,0.023148291439306037,0.02837380894131505
135333,187.66666666666666,0.0009151107558262605,426488.8333333333,0.015837829909372107,0.12163604080536078,2523906.77,2809582.053333333,-285675.2833333333,2.0748169553135742,-0.3226063123879178,426132.84642540594,426820.44366337196,426441.6117026249,687.5972379664487,-57135.05666666666,0.1023368988173412,19.0,18.0,0.029923050888785566,0.02592433169402503
135336,202.0,0.0009167253139166734,426478.3333333333,0.008921653113319319,0.11730235859197755,2521038.716666667,2810935.3133333335,-289896.5966666667,2.058654631106517,-0.3227582551709273,426136.08531792834,426818.7136600094,426446.7262395898,682.6283420806586,-57979.31933333333,0.0970165214011557,-3.3333333333333335,-10.5,-0.01616232420705664,0.030422333791908063
